0A_Voltage,0A_Current,0B_Voltage,0B_Current
+3.2899,-0.0003,+0.0038,+0.0001
+3.2896,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0038,+0.0000
+3.2900,-0.0002,+0.0037,+0.0002
+3.2901,-0.0002,+0.0037,+0.0001
+3.2902,-0.0001,+0.0038,+0.0001
+3.2902,-0.0001,+0.0039,+0.0001
+3.2901,-0.0001,+0.0038,+0.0001
+3.2898,-0.0002,+0.0037,+0.0001
+3.2895,-0.0002,+0.0037,+0.0001
+3.2898,-0.0001,+0.0037,+0.0001
+3.2908,-0.0002,+0.0037,+0.0001
+3.2897,-0.0002,+0.0039,+0.0000
+3.2898,-0.0001,+0.0038,+0.0001
+3.2898,-0.0002,+0.0037,+0.0001
+3.2909,-0.0003,+0.0037,+0.0000
+3.2898,-0.0003,+0.0037,+0.0001
+3.2909,-0.0003,+0.0037,+0.0001
+3.2898,-0.0001,+0.0038,+0.0000
+3.2893,-0.0002,+0.0037,+0.0001
+3.2900,-0.0003,+0.0038,+0.0001
+3.2895,-0.0002,+0.0037,+0.0000
+3.2891,-0.0002,+0.0037,+0.0001
+3.2893,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0038,+0.0000
+3.2906,-0.0002,+0.0038,+0.0002
+3.2902,-0.0002,+0.0038,+0.0001
+3.2898,-0.0002,+0.0038,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0001
+3.2900,-0.0001,+0.0038,+0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2901,-0.0003,+0.0037,+0.0000
+3.2902,-0.0002,+0.0037,+0.0001
+3.2901,-0.0003,+0.0037,+0.0001
+3.2902,-0.0003,+0.0037,+0.0000
+3.2898,-0.0003,+0.0038,+0.0000
+3.2901,-0.0002,+0.0038,+0.0001
+3.2898,-0.0001,+0.0038,+0.0001
+3.2899,-0.0002,+0.0038,+0.0000
+3.2899,-0.0001,+0.0038,+0.0000
+3.2900,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0000
+3.2901,-0.0002,+0.0038,+0.0000
+3.2901,-0.0003,+0.0038,+0.0001
+3.2899,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0037,+0.0001
+3.2904,-0.0002,+0.0037,+0.0000
+3.2901,-0.0003,+0.0038,+0.0000
+3.2900,-0.0002,+0.0038,+0.0001
+3.2901,-0.0003,+0.0037,+0.0001
+3.2898,-0.0001,+0.0038,+0.0001
+3.2898,-0.0002,+0.0037,+0.0000
+3.2899,-0.0003,+0.0037,+0.0000
+3.2902,-0.0002,+0.0037,+0.0000
+3.2902,-0.0001,+0.0038,+0.0000
+3.2900,-0.0001,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0037,+0.0000
+3.2898,-0.0003,+0.0037,+0.0000
+3.2899,-0.0001,+0.0037,+0.0001
+3.2901,-0.0001,+0.0038,+0.0000
+3.2900,-0.0001,+0.0037,+0.0000
+3.2898,-0.0002,+0.0037,+0.0001
+3.2902,-0.0001,+0.0037,+0.0001
+3.2903,-0.0002,+0.0038,+0.0001
+3.2904,-0.0003,+0.0037,+0.0000
+3.2902,-0.0003,+0.0038,+0.0001
+3.2900,-0.0003,+0.0037,+0.0000
+3.2901,-0.0003,+0.0037,+0.0001
+3.2901,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2903,-0.0002,+0.0038,+0.0000
+3.2902,-0.0002,+0.0038,+0.0001
+3.2902,-0.0001,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0038,+0.0000
+3.2901,-0.0003,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0000
+3.2902,-0.0002,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2900,-0.0003,+0.0038,+0.0000
+3.2899,-0.0001,+0.0038,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0000
+3.2898,-0.0001,+0.0037,+0.0001
+3.2901,-0.0003,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2902,-0.0001,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2903,-0.0002,+0.0039,+0.0000
+3.2901,-0.0002,+0.0038,+0.0001
+3.2898,-0.0001,+0.0038,+0.0000
+3.2899,-0.0001,+0.0037,+0.0002
+3.2900,-0.0002,+0.0037,+0.0002
+3.2901,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2903,-0.0003,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0001
+3.2901,-0.0002,+0.0038,+0.0001
+3.2899,-0.0002,+0.0038,+0.0001
+3.2899,-0.0003,+0.0039,+0.0001
+3.2902,-0.0002,+0.0038,+0.0000
+3.2898,-0.0003,+0.0037,+0.0000
+3.2898,-0.0003,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0001
+3.2901,-0.0002,+0.0037,+0.0001
+3.2901,-0.0001,+0.0037,+0.0001
+3.2901,-0.0001,+0.0037,+0.0001
+3.2901,-0.0002,+0.0038,+0.0001
+3.2901,-0.0001,+0.0038,+0.0000
+3.2901,-0.0001,+0.0038,+0.0000
+3.2900,+0.0000,+0.0038,+0.0000
+3.2902,-0.0002,+0.0038,+0.0001
+3.2901,-0.0003,+0.0038,+0.0001
+3.2902,-0.0002,+0.0038,+0.0000
+3.2900,-0.0002,+0.0038,+0.0001
+3.2898,-0.0002,+0.0038,+0.0000
+3.2900,-0.0002,+0.0038,+0.0001
+3.2902,-0.0001,+0.0037,+0.0001
+3.2900,-0.0002,+0.0038,+0.0001
+3.2904,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
